id;start_date;end_date;language
1;2020-11-11T17:17:00;2020-11-11T15:07:15;SPANISH
2;2020-11-10T22:07:11;2020-11-11T17:11:36;SPANISH
3;2020-11-11T13:02:30;2020-11-10T23:36:39;FRENCH
4;2020-11-11T04:20:01;2020-11-11T15:51:27;FRENCH
5;2020-11-11T13:50:19;2020-11-11T18:37:18;FRENCH
6;2020-11-11T07:42:40;2020-11-11T19:50:54;FRENCH
7;2020-11-11T09:28:00;2020-11-11T03:18:51;FRENCH
8;2020-11-11T08:24:13;2020-11-11T18:40:21;SPANISH
9;2020-11-11T07:05:22;2020-11-11T03:46:45;SPANISH
10;2020-11-11T15:17:26;2020-11-11T01:51:56;SPANISH
